Date,Content,Comment
2024-01-12,https://boxd.it/5yVo7v,ESSE FILME TEM TANTA FALA FODA PQP
2024-01-30,https://boxd.it/5HJWrB,KKKKkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkKKKKK
2024-01-30,https://boxd.it/5IH5O3,ANSIOSO
2024-01-31,https://boxd.it/5IYh4Z,KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK PERDAO
2024-02-03,https://boxd.it/5KhLKX,vai se fuder mlk
2024-05-29,https://boxd.it/6zoizJ,vtncccc
2024-07-10,https://boxd.it/6Qo5iX,te amo
2024-07-29,https://boxd.it/6Z5PR3,vc é tao perfeito
2024-07-29,https://boxd.it/6Z5Qv3,tu ja tava vendo filme na mesma hora zzz
2024-08-21,https://boxd.it/78Y3aB,"ia botar esse na minha lista
F"
2024-09-23,https://boxd.it/7ocDwr,sdds
2024-10-23,https://boxd.it/7Cqu19,pinguas é muito burro pqp
2024-12-09,https://boxd.it/80y3R5,vc meio q divou
2024-12-28,https://boxd.it/8aJ7nF,"nós somos um bando de cavalos velhos.

oxe so voce kkkkk"
2025-01-13,https://boxd.it/8rpcv3,sim
2025-01-18,https://boxd.it/8w50tT,"aff
gostei tanto"
2025-01-18,https://boxd.it/8w15Ez,O FILME DO ANO
2025-01-20,https://boxd.it/8xZAuf,"RAM JAM
RAM JAM"
2025-02-13,https://boxd.it/8OgT8b,entao pq n viu comigo?
2025-02-13,https://boxd.it/8OgT8b,eu literalmente chamei na call e todo mundo preferiu esperar a nelsa
2025-02-13,https://boxd.it/8OgT8b,entao nao fui eu que nao chamei ne loool
2025-02-13,https://boxd.it/8OANIH,"achei o final meio cliche, mas tava gostando mt do comeco"
2025-02-16,https://boxd.it/8PhqfD,agora nao da
2025-02-16,https://boxd.it/8PhqfD,to almocando
2025-02-17,https://boxd.it/8RGP65,pior q esse filme me deixou triste
2025-02-19,https://boxd.it/8SlwA3,filme de teimoso
2025-02-22,https://boxd.it/8UH4JN,"ue mano
mentiu pra gente?"
2025-02-23,https://boxd.it/6KJgTN,te amo muito
2025-02-27,https://boxd.it/8XNmUD,o bicho foi corno pra um ROBO
2025-02-28,https://boxd.it/Dl5Nm,🇧🇷
2025-03-06,https://boxd.it/91Qx3H,nosso
2025-03-15,https://boxd.it/97zLFv,"as capas ou os posters? KKKKKKKKKK

mas essa eu fiz de proposito, fui pelo ovo"
2025-03-15,https://boxd.it/97rVlT,so dont tell scotty
2025-03-23,https://boxd.it/8Uo22f,me emocionei
2025-03-25,https://boxd.it/9e6q4X,HE IS BACK
2025-05-29,https://boxd.it/9IZQ8r,eu já tinha visto
2025-05-29,https://boxd.it/7lZnzv,kkkkkkkkkkkkkkkkkk
2025-06-21,https://boxd.it/a3UzpJ,te amo!
2025-06-24,https://boxd.it/a6aC9J,"melhor filme de terror/suspense da história
john carpenter eu te amo"
2025-07-01,https://boxd.it/aatXt5,amo suas reviews
2025-07-08,https://boxd.it/afnJar,adoro suas reviews gu
2025-07-21,https://boxd.it/alUPnV,"muito lindo
"
2025-07-26,https://boxd.it/atBAGx,é sobre o bug do milenio?
2025-07-29,https://boxd.it/aw7Jct,adoro suas reviews!!
2025-08-14,https://boxd.it/aI9UEv,vixe
2025-08-15,https://boxd.it/aI6wXx,U went viral again lol
2025-08-15,https://boxd.it/aJoZqH,pare de ver
2025-08-15,https://boxd.it/aJhup5,oii
2025-08-19,https://boxd.it/aLWoSl,q mentira
2025-10-07,https://boxd.it/bgK4fj,mt fodao
2025-10-09,https://boxd.it/biOocv,te falei
2025-10-13,https://boxd.it/bkYQ3J,mkkkkkkk
2025-10-18,https://boxd.it/bp275T,😻😻😻
2025-10-29,https://boxd.it/bvti5X,"mt maneiro
"
2025-11-08,https://boxd.it/aWpDRl,i had the same reactions lol
2025-11-09,https://boxd.it/bEcDil,dona sebastiana mt foda
2025-11-14,https://boxd.it/bHzvIj,"de animacao? nao
de live action falta os de 66’ ( que nao quero ver) e os ultimos dois: batman forever e batman & robin"
2025-12-01,https://boxd.it/bTDWN7,O começo do doc foi bom
2025-12-02,https://boxd.it/bTZMwp,hater geracional
2025-12-02,https://boxd.it/bTDWN7,gostei da sua foto pbarros
2025-12-10,https://boxd.it/bZlkYT,mt foda gui
2025-12-15,https://boxd.it/c2yJiB,tu eh genio
2025-12-29,https://boxd.it/ciqNaz,VTNC ESSA REVIEW
2025-12-30,https://boxd.it/ciqbWP,Execução é bem ruim (não dos atores) e acaba sendo meio confuso os motivos de toda essa explosão (eu acabei interpretando que é uma pluralidade de motivos)
2026-01-01,https://boxd.it/clRSOb,Bota como rewatched drey
2026-01-02,https://boxd.it/cmUeRz,eu te amo bazzinha
2026-01-22,https://boxd.it/cKJiZL,dia do cabelo maluco kkkkkkkkk
2026-01-22,https://boxd.it/cETz9t,eu tr amo
2026-01-22,https://boxd.it/cLaWo5,preciso ver pqp
2026-01-24,https://boxd.it/cMQ6rJ,queria ter chorado 🥹
2026-01-28,https://boxd.it/cFmE9B,eu te amo
2026-01-30,https://boxd.it/cTGtSB,RIP 👂
2026-01-31,https://boxd.it/cTFsVn,oiii
2026-01-31,https://boxd.it/cUyivp,eu amo tanto esse filme
2026-02-01,https://boxd.it/cUBBYr,kkkkkkkkk
2026-02-02,https://boxd.it/cUBBYr,tem umas 4 sequencias
2026-02-05,https://boxd.it/cYSPMJ,"assisti justamente por ver muita gente falando dele agora, muito bizarro"
2026-02-05,https://boxd.it/cYSPMJ,"curti muito lagudao, ainda mais que tem uma vibe lynchiana sinistra"
2026-02-05,https://boxd.it/cMQ6rJ,uai
2026-02-07,https://boxd.it/d15jRL,t amo
2026-02-07,https://boxd.it/d1lqvp,não gostou do plot twist?
2026-02-09,https://boxd.it/d3kDTP,quero mt ver esse
2026-02-11,https://boxd.it/d4GQYL,kkkkkkkkkkkkk
2026-02-11,https://boxd.it/d4Y9aJ,vou ver o filme 100%
2026-02-13,https://boxd.it/d5JEjB,o que é a perna cabeluda?
2026-02-13,https://boxd.it/d6b2Jn,Q ISSSO
2026-02-13,https://boxd.it/d6v4IL,Assista save the green planet
2026-02-13,https://boxd.it/d6wjeD,eu sou o cescon e vc é o peewee
2026-02-15,https://boxd.it/d7thBX,sabe nada
2026-02-18,https://boxd.it/dbt2Bz,jesus chorou
2026-02-20,https://boxd.it/dcXyXL,"veja lala

foi indicado ao oscar e é mt bom

Na torcida!"
2026-02-20,https://boxd.it/dcBUvP,quero mt ver esse
2026-02-21,https://boxd.it/ddKkol,chorou?
2026-02-24,https://boxd.it/dhtamV,trilha sonora insana
2026-02-25,https://boxd.it/SOMKo,se quiser ver algum avise
2026-02-25,https://boxd.it/dhsoZv,vo chamar
2026-02-25,https://boxd.it/di0JsP,eu te amo
2026-02-25,https://boxd.it/dhXkul,"é uma das melhores franquias de terror 

se pa a melhor em consistência 

unico q n gostei mt foi evil dead rise"
2026-02-26,https://boxd.it/diMIDN,"ASSISTA DREY

filme é mt engraçado e é mt legal ver o al pacino novinho no prime"
2026-02-27,https://boxd.it/dj7OUd,veja esse lagudao
2026-02-28,https://boxd.it/dk8oXr,queria ver esse
2026-03-03,https://boxd.it/dnjOkT,esse six seven foi inacreditavel
2026-03-06,https://boxd.it/doNoAP,lindo demais
2026-03-06,https://boxd.it/T16KC,mitada
2026-03-16,https://boxd.it/dwIWwT,pq n deu nota?
2026-03-16,https://boxd.it/dwIWwT,"nao vi esse ainda, parece ser pesadinho "
